Area,Country,Area Code,Split_Year,What_happened,Country_split_(by_area_code),Percentages,Year,Barley,Maize,Potatoes,Rice_paddy,Sugar_beet,Sugar_cane,Sunflower_seed,Wheat,Rye,Soybeans,Rapeseed,Maize_green,Oil_palm_fruit
Timor-Leste,TLS,176,,,,,2018.0,,101564.0,1167.0,86647.0,,,,,,1008.0,,,
Puerto Rico,PRI,177,,,,,2018.0,,102.0,,186.0,,,,,,,,584.0,
Eritrea,ERI,178,,,,,2018.0,68268.0,19914.0,135.0,,,,,28939.0,,,,,
Qatar,QAT,179,,,,,2018.0,237.0,1866.0,17.0,,,,,15.0,,,,1092.0,
Zimbabwe,ZWE,181,,,,,2018.0,55854.0,730437.0,60521.0,755.0,,3305073.0,18000.0,41488.0,,90000.0,,4809.0,
RÃƒÂ©union,REU,182,,,,,2018.0,,13770.0,4861.0,304.0,,1789347.0,,,,,,,
Romania,ROU,183,,,,,2018.0,1870710.0,18663939.0,3022758.0,43355.0,978266.0,,3062690.0,10143671.0,28636.0,465609.0,1610907.0,15355.0,
Rwanda,RWA,184,,,,,2018.0,,410280.0,847302.0,119932.0,,116473.0,,10875.0,,23804.0,,,
Russian Federation,RUS,185,,,,,2018.0,16991907.0,11419020.0,22394960.0,1038222.0,42065957.0,,12755725.0,72136149.0,1916056.0,4026850.0,1988697.0,,
Saint Kitts and Nevis,KNA,188,,,,,2018.0,,,0.0,,,,,,,,,,
Saint Lucia,LCA,189,,,,,2018.0,,,,,,,,,,,,,
Saint Vincent and the Grenadines,VCT,191,,,,,2018.0,,1030.0,,,,17286.0,,,,,,,
Sao Tome and Principe,STP,193,,,,,2018.0,,941.0,,,,,,,,,,,18497.0
Saudi Arabia,SAU,194,,,,,2018.0,624702.0,15394.0,482305.0,0.0,,,,586413.0,,,,,
Senegal,SEN,195,,,,,2018.0,,264105.0,79499.0,762776.0,,886195.0,,,,,,,139763.0
Sierra Leone,SLE,197,,,,,2018.0,,22981.0,,919785.0,,78432.0,,,,,,,254000.0
Slovenia,SVN,198,,,,,2018.0,88057.0,350489.0,72917.0,,,,791.0,121901.0,4542.0,5331.0,7657.0,,
Slovakia,SVK,199,,,,,2018.0,486898.0,1515834.0,169953.0,,1311972.0,,201614.0,1927926.0,41008.0,104525.0,480013.0,10312.0,
Singapore,SGP,200,,,,,2018.0,,,,,,,,,,,,,
Somalia,SOM,201,,,,,2018.0,,138716.0,,4766.0,,209291.0,,1033.0,,,,,
South Africa,ZAF,202,,,,,2018.0,421500.0,12510000.0,2467724.0,3026.0,,19301688.0,862000.0,1868000.0,1742.0,1540000.0,103950.0,388551.0,
Spain,ESP,203,,,,,2018.0,9129535.0,3842519.0,2010933.0,808167.0,2870907.0,1091.0,950346.0,7989906.0,388467.0,4249.0,175231.0,,
Suriname,SUR,207,,,,,2018.0,,85.0,,273916.0,,125973.0,,,,7.0,,,1200.0
Tajikistan,TJK,208,,,,,2018.0,108817.0,237355.0,964644.0,90446.0,,,10970.0,778986.0,351.0,26.0,277.0,,
Eswatini,SWZ,209,,,,,2018.0,,91247.0,8520.0,83.0,,5596146.0,,713.0,,,,,
Sweden,SWE,210,,,,,2018.0,1094400.0,,720200.0,,1698400.0,,,1620300.0,88200.0,,217800.0,,
Switzerland,CHE,211,,,,,2018.0,182120.0,134834.0,417156.0,,1625460.0,,13079.0,497250.0,10112.0,5206.0,81148.0,1025.0,
Syrian Arab Republic,SYR,212,,,,,2018.0,390000.0,118000.0,540000.0,0.0,65300.0,1.0,6000.0,1200000.0,,300.0,,,
Turkmenistan,TKM,213,,,,,2018.0,18969.0,40000.0,293533.0,130000.0,243386.0,,,1000000.0,,,,,
United Republic of Tanzania,TZA,215,,,,,2018.0,12422.0,5986905.0,1768154.0,3016695.0,,3051792.0,930000.0,104870.0,,5993.0,,60078.0,76206.0
Thailand,THA,216,,,,,2018.0,28288.0,5004125.0,125106.0,32192087.0,,104360867.0,25000.0,1351.0,,56000.0,,304833.0,15400000.0
Togo,TGO,217,,,,,2018.0,,886630.0,,145489.0,,,,,,1559.0,,,156156.0
Trinidad and Tobago,TTO,220,,,,,2018.0,,2781.0,,586.0,,,,,,,,603.0,
Oman,OMN,221,,,,,2018.0,1661.0,8827.0,15613.0,,,1190.0,,3579.0,,,,,
Tunisia,TUN,222,,,,,2018.0,700000.0,,423800.0,,76556.0,,7430.0,1500000.0,,,3964.0,,
Turkey,TUR,223,,,,,2018.0,7000000.0,5700000.0,4550000.0,940000.0,18900000.0,,1949229.0,20000000.0,320000.0,140000.0,125000.0,,
United Arab Emirates,ARE,225,,,,,2018.0,114.0,8942.0,451.0,,,,,,,,,,
Uganda,UGA,226,,,,,2018.0,,2964017.0,162151.0,260786.0,,3976810.0,245000.0,23597.0,,29000.0,,,
United Kingdom of Great Britain and Northern Ireland,GBR,229,,,,,2018.0,6510000.0,,5028000.0,,7620000.0,,,13555000.0,95366.0,,2012000.0,,
Ukraine,UKR,230,,,,,2018.0,7349140.0,35801050.0,22503970.0,69210.0,13967700.0,,14165170.0,24652840.0,393780.0,4460770.0,2750600.0,58660.0,
United States of America,USA,231,,,,,2018.0,3332970.0,392450840.0,20607342.0,10170040.0,30068647.0,31335984.0,959990.0,51286540.0,214180.0,123664230.0,1644170.0,3323910.0,
Burkina Faso,BFA,233,,,,,2018.0,,1700127.0,1416.0,160949.0,,490208.0,,,,31314.0,,,
Uruguay,URY,234,,,,,2018.0,637800.0,816000.0,87000.0,1360000.0,,350544.0,0.0,440000.0,,1334000.0,90700.0,836.0,
Uzbekistan,UZB,235,,,,,2018.0,111760.0,413165.0,2911933.0,221089.0,,,26672.0,5410760.0,7078.0,11399.0,1314.0,,
Venezuela (Bolivarian Republic of),VEN,236,,,,,2018.0,,1318418.0,371744.0,494549.0,23766.0,4166916.0,12011.0,144.0,,6000.0,,,462728.0
Viet Nam,VNM,237,,,,,2018.0,,4874054.0,376377.0,44046250.0,,17945204.0,,,,81348.0,,,
Ethiopia,ETH,238,,,,,2018.0,2101375.0,7360201.0,743153.0,144200.0,,1474881.0,,4238836.0,,98000.0,60757.0,,
Wallis and Futuna Islands,WLF,243,,,,,2018.0,,,,,,21.0,,,,,,65.0,
Samoa,WSM,244,,,,,2018.0,,,,,,12.0,,,,,,30.0,
Yemen,YEM,249,,,,,2018.0,19667.0,42986.0,248889.0,,,0.0,,105503.0,,,,,
Democratic Republic of the Congo,COD,250,,,,,2018.0,1085.0,2078352.0,101398.0,990139.0,,2359258.0,,6309.0,,25772.0,,,1192783.0
Zambia,ZMB,251,,,,,2018.0,8767.0,2394907.0,13546.0,43063.0,,4460780.0,47594.0,114463.0,,302720.0,,,
Belgium,BEL,255,,,,,2018.0,320395.0,442995.0,3045443.0,,5192049.0,,,1652249.0,2319.0,,42834.0,,
Luxembourg,LUX,256,,,,,2018.0,34662.0,565.0,16211.0,,,,,78409.0,6048.0,,10951.0,,
Serbia,SRB,272,,,,,2018.0,410138.0,6964770.0,487909.0,,2325303.0,,733706.0,2941601.0,13418.0,645607.0,135422.0,31179.0,
Montenegro,MNE,273,,,,,2018.0,1082.0,2743.0,26098.0,,,,,2467.0,445.0,,,,
Sudan,SDN,276,,,,,2018.0,,45000.0,442988.0,30000.0,,5902741.0,108000.0,595000.0,,,,,
South Sudan,SSD,277,,,,,2018.0,,90000.0,,,,,52667.0,,,,,,
Palestine,PSE,299,,,,,2018.0,14961.0,,57315.0,,,,3.0,34167.0,,,,8837.0,
